"Parcel.Number","Parcel Type"
"102-85-623","Rental Parcel"
"102-85-637","Residential Parcel"
"102-85-663","Residential Parcel"
"102-90-595","Residential Parcel"
"102-90-645","Residential Parcel"
"102-17-272","Residential Parcel"
"102-17-447","Residential Parcel"
"102-17-577","Residential Parcel"
"102-17-856","Residential Parcel"
"102-58-354","Residential Parcel"
"102-72-247","Rental Parcel"
"102-85-683","Residential Parcel"
"102-17-853","Residential Parcel"
"102-58-154","Residential Parcel"
"102-72-184","Residential Parcel"
"102-82-131","Residential Parcel"
"102-90-654","Residential Parcel"
"102-17-275","Residential Parcel"
"102-17-869","Residential Parcel"
"102-72-386","Residential Parcel"
"102-72-398","Residential Parcel"
"102-82-166","Residential Parcel"
"102-82-303","Residential Parcel"
"102-17-241","Residential Parcel"
"102-90-491","Residential Parcel"
"102-90-577","Rental Parcel"
"102-17-843","Residential Parcel"
"102-58-357","Residential Parcel"
"102-72-194","Residential Parcel"
"102-72-261","Residential Parcel"
"102-82-043","Rental Parcel"
"102-82-134","Residential Parcel"
"102-85-635","Residential Parcel"
"102-85-794","Residential Parcel"
"102-17-645","Residential Parcel"
"102-17-865","Residential Parcel"
"102-58-296","Residential Parcel"
"102-72-353","Residential Parcel"
"102-72-376","Residential Parcel"
"102-90-218","Residential Parcel"
"102-90-404","Residential Parcel"
"102-90-685","Residential Parcel"
"102-17-445","Residential Parcel"
"102-17-549","Rental Parcel"
"102-17-603","Residential Parcel"
"102-90-628","Residential Parcel"
"102-90-728","Residential Parcel"
"102-90-764","Residential Parcel"
"102-22-850","Residential Parcel"
"102-17-630","Residential Parcel"
"102-17-782","Residential Parcel"
"102-17-816","Residential Parcel"
"102-72-399","Rental Parcel"
"102-85-825","Residential Parcel"
"102-90-620","Residential Parcel"
"102-90-708","Residential Parcel"
"102-22-869","Residential Parcel"
"102-17-597","Residential Parcel"
"102-17-633","Residential Parcel"
"102-58-163","Residential Parcel"
"102-72-381","Rental Parcel"
"102-90-753","Residential Parcel"
"102-17-986","Commercial Parcel"
"102-58-167","Residential Parcel"
"102-72-407","Residential Parcel"
"102-85-633","Residential Parcel"
"102-85-659","Residential Parcel"
"102-90-390","Rental Parcel"
"102-90-441","Residential Parcel"
"102-90-478","Residential Parcel"
"102-90-483","Residential Parcel"
"102-17-420","Residential Parcel"
"102-85-628","Residential Parcel"
"102-85-847","Residential Parcel"
"102-90-551","Residential Parcel"
"102-90-722","Residential Parcel"
"102-17-591","Residential Parcel"
"102-58-147","Rental Parcel"
"102-82-167","Residential Parcel"
"102-85-584","Residential Parcel"
"102-90-504","Residential Parcel"
"102-90-574","Residential Parcel"
"102-72-208","Residential Parcel"
"102-85-654","Residential Parcel"
"102-85-702","Rental Parcel"
"102-90-662","Residential Parcel"
"102-90-816","Residential Parcel"
"102-17-642","Residential Parcel"
"102-72-297","Residential Parcel"
"102-85-749","Residential Parcel"
"102-90-498","Residential Parcel"
"102-17-426","Residential Parcel"
"102-17-863","Residential Parcel"
"102-90-457","Residential Parcel"
"102-90-695","Rental Parcel"
"102-90-811","Rental Parcel"
"102-72-233","Residential Parcel"
"102-72-307","Residential Parcel"
"102-90-455","Residential Parcel"
"102-90-691","Residential Parcel"
"102-90-778","Residential Parcel"
"102-17-377","Rental Parcel"
"102-17-432","Residential Parcel"
"102-17-449","Residential Parcel"
"102-72-360","Residential Parcel"
"102-90-795","Residential Parcel"
"102-90-682","Residential Parcel"
"102-17-379","Residential Parcel"
"102-17-409","Residential Parcel"
"102-17-852","Residential Parcel"
"102-72-246","Residential Parcel"
"102-85-706","Rental Parcel"
"102-90-773","Residential Parcel"
"102-18-959","Residential Parcel"
"102-72-235","Residential Parcel"
"102-72-315","Residential Parcel"
"102-82-160","Residential Parcel"
"102-85-828","Residential Parcel"
"102-22-865","Residential Parcel"
"102-17-258","Residential Parcel"
"102-17-801","Residential Parcel"
"102-17-848","Residential Parcel"
"102-58-131","Rental Parcel"
"102-58-162","Residential Parcel"
"102-72-337","Residential Parcel"
"102-72-357","Residential Parcel"
"102-72-391","Residential Parcel"
"102-85-798","Residential Parcel"
"102-85-835","Residential Parcel"
"102-90-634","Residential Parcel"
"102-90-818","Rental Parcel"
"102-17-451","Residential Parcel"
"102-17-599","Residential Parcel"
"102-72-395","Rental Parcel"
"102-85-677","Residential Parcel"
"102-90-476","Residential Parcel"
"102-90-839","Rental Parcel"
"102-17-545","Residential Parcel"
"102-17-583","Residential Parcel"
"102-72-335","Residential Parcel"
"102-58-143","Residential Parcel"
"102-72-256","Residential Parcel"
"102-72-359","Residential Parcel"
"102-85-827","Residential Parcel"
"102-90-592","Residential Parcel"
"102-90-813","Residential Parcel"
"102-72-329","Residential Parcel"
"102-72-348","Residential Parcel"
"102-58-315","Residential Parcel"
"102-90-612","Residential Parcel"
"102-17-266","Residential Parcel"
"102-58-133","Residential Parcel"
"102-58-156","Residential Parcel"
"102-72-269","Residential Parcel"
"102-85-704","Residential Parcel"
"102-85-799","Residential Parcel"
"102-22-872","Residential Parcel"
"102-17-431","Residential Parcel"
"102-17-822","Residential Parcel"
"102-17-988","Commercial Parcel"
"102-58-164","Residential Parcel"
"102-72-389","Residential Parcel"
"102-85-596","Residential Parcel"
"102-85-672","Rental Parcel"
"102-85-765","Residential Parcel"
"102-90-670","Residential Parcel"
"102-90-681","Residential Parcel"
"102-90-720","Residential Parcel"
"102-18-839","Residential Parcel"
"102-17-595","Residential Parcel"
"102-17-323","Residential Parcel"
"102-17-592","Residential Parcel"
"102-72-362","Rental Parcel"
"102-85-795","Residential Parcel"
"102-90-733","Residential Parcel"
"102-18-834","Residential Parcel"
"102-17-815","Residential Parcel"
"102-72-344","Residential Parcel"
"102-85-601","Residential Parcel"
"102-90-543","Residential Parcel"
"102-90-785","Rental Parcel"
"102-90-814","Residential Parcel"
"102-22-853","Residential Parcel"
"102-72-239","Residential Parcel"
"102-72-379","Rental Parcel"
"102-85-627","Residential Parcel"
"102-85-639","Residential Parcel"
"102-85-771","Residential Parcel"
"102-90-535","Residential Parcel"
"102-90-820","Rental Parcel"
"102-18-828","Residential Parcel"
"102-58-017Q","Commercial Parcel"
"102-18-968","Residential Parcel"
"102-18-967","Residential Parcel"
"102-18-974","Residential Parcel"
"102-18-975","Residential Parcel"
"102-18-969","Residential Parcel"
"102-18-966","Residential Parcel"
"102-59-022B","Land Parcel"
"102-18-976","Residential Parcel"
"102-18-973","Residential Parcel"
"102-18-971","Residential Parcel"
"102-18-965","Residential Parcel"
"102-18-972","Residential Parcel"
"102-18-970","Residential Parcel"
"102-17-316","Rental Parcel"
"102-17-439","Rental Parcel"
"102-17-553","Residential Parcel"
"102-17-609","Residential Parcel"
"102-90-463","Rental Parcel"
"102-90-568","Rental Parcel"
"102-90-838","Residential Parcel"
"102-17-304","Residential Parcel"
"102-17-857","Rental Parcel"
"102-85-781","Rental Parcel"
"102-90-225","Residential Parcel"
"102-90-584","Rental Parcel"
"102-90-763","Residential Parcel"
"102-17-327","Residential Parcel"
"102-17-554","Residential Parcel"
"102-17-650","Residential Parcel"
"102-17-656","Residential Parcel"
"102-17-812","Residential Parcel"
"102-17-987","Commercial Parcel"
"102-58-145","Residential Parcel"
"102-58-355","Residential Parcel"
"102-82-110","Residential Parcel"
"102-85-723","Rental Parcel"
"102-90-571","Residential Parcel"
"102-90-729","Residential Parcel"
"102-17-438","Residential Parcel"
"102-17-556","Residential Parcel"
"102-58-317","Residential Parcel"
"102-82-142","Residential Parcel"
"102-82-148","Residential Parcel"
"102-17-587","Residential Parcel"
"102-17-665","Residential Parcel"
"102-17-826","Residential Parcel"
"102-72-301","Rental Parcel"
"102-85-583","Residential Parcel"
"102-85-616","Residential Parcel"
"102-85-801","Residential Parcel"
"102-58-135","Residential Parcel"
"102-85-662","Residential Parcel"
"102-90-421","Rental Parcel"
"102-90-815","Residential Parcel"
"102-90-833","Residential Parcel"
"102-58-175","Residential Parcel"
"102-58-160","Residential Parcel"
"102-72-198","Residential Parcel"
"102-72-236","Residential Parcel"
"102-82-161","Residential Parcel"
"102-82-300","Residential Parcel"
"102-85-741","Residential Parcel"
"102-85-772","Residential Parcel"
"102-85-777","Residential Parcel"
"102-90-452","Residential Parcel"
"102-90-700","Residential Parcel"
"102-90-827","Residential Parcel"
"102-90-749","Residential Parcel"
"102-17-256","Residential Parcel"
"102-17-772","Residential Parcel"
"102-72-240","Residential Parcel"
"102-85-594","Residential Parcel"
"102-90-466","Rental Parcel"
"102-58-327","Residential Parcel"
"102-17-308","Residential Parcel"
"102-17-320","Residential Parcel"
"102-17-568","Residential Parcel"
"102-72-328","Residential Parcel"
"102-72-302","Residential Parcel"
"102-85-709","Residential Parcel"
"102-90-525","Residential Parcel"
"102-90-539","Residential Parcel"
"102-90-540","Residential Parcel"
"102-17-412","Residential Parcel"
"102-58-077","Residential Parcel"
"102-85-716","Residential Parcel"
"102-17-394","Residential Parcel"
"102-17-654","Residential Parcel"
"102-85-582","Residential Parcel"
"102-85-725","Residential Parcel"
"102-85-824","Residential Parcel"
"102-90-576","Residential Parcel"
"102-90-644","Residential Parcel"
"102-90-657","Residential Parcel"
"102-17-315","Residential Parcel"
"102-17-806","Residential Parcel"
"102-90-532","Residential Parcel"
"102-17-604","Rental Parcel"
"102-72-320","Rental Parcel"
"102-90-665","Residential Parcel"
"102-17-810","Residential Parcel"
"102-17-624","Residential Parcel"
"102-58-166","Residential Parcel"
"102-58-331","Residential Parcel"
"102-72-264","Residential Parcel"
"102-72-370","Residential Parcel"
"102-82-044","Rental Parcel"
"102-82-320","Residential Parcel"
"102-85-581","Residential Parcel"
"102-85-592","Residential Parcel"
"102-85-802","Residential Parcel"
"102-85-832","Residential Parcel"
"102-85-848","Residential Parcel"
"102-90-727","Residential Parcel"
"102-22-867","Residential Parcel"
"102-85-651","Residential Parcel"
"102-85-658","Rental Parcel"
"102-85-666","Rental Parcel"
"102-85-745","Residential Parcel"
"102-90-461","Residential Parcel"
"102-90-492","Residential Parcel"
"102-90-611","Residential Parcel"
"102-17-247","Residential Parcel"
"102-17-413","Residential Parcel"
"102-17-425","Residential Parcel"
"102-17-564","Residential Parcel"
"102-17-832","Rental Parcel"
"102-58-076","Rental Parcel"
"102-82-147","Residential Parcel"
"102-85-807","Residential Parcel"
"102-90-524","Residential Parcel"
"102-17-307","Residential Parcel"
"102-17-317","Residential Parcel"
"102-58-311","Residential Parcel"
"102-90-738","Residential Parcel"
"102-17-385","Residential Parcel"
"102-17-775","Residential Parcel"
"102-90-419","Residential Parcel"
"102-90-734","Residential Parcel"
"102-90-586","Residential Parcel"
"102-17-429","Residential Parcel"
"102-72-180","Residential Parcel"
"102-85-673","Residential Parcel"
"102-90-723","Residential Parcel"
"102-72-248","Rental Parcel"
"102-72-303","Residential Parcel"
"102-85-732","Residential Parcel"
"102-90-710","Residential Parcel"
"102-22-873","Residential Parcel"
"102-17-794","Rental Parcel"
"102-17-588","Residential Parcel"
"102-82-053","Residential Parcel"
"102-85-665","Residential Parcel"
"102-85-739","Residential Parcel"
"102-90-507","Rental Parcel"
"102-90-547","Residential Parcel"
"102-17-443","Residential Parcel"
"102-17-605","Residential Parcel"
"102-17-870","Residential Parcel"
"102-85-609","Residential Parcel"
"102-85-684","Residential Parcel"
"102-85-698","Residential Parcel"
"102-85-836","Residential Parcel"
"102-90-581","Residential Parcel"
"102-17-239","Residential Parcel"
"102-17-841","Residential Parcel"
"102-17-847","Residential Parcel"
"102-72-349","Residential Parcel"
"102-90-435","Rental Parcel"
"102-90-622","Residential Parcel"
"102-17-408","Residential Parcel"
"102-17-596","Residential Parcel"
"102-58-138","Residential Parcel"
"102-82-050","Residential Parcel"
"102-85-580","Residential Parcel"
"102-85-809","Residential Parcel"
"102-90-465","Residential Parcel"
"102-90-810","Residential Parcel"
"102-17-817","Residential Parcel"
"102-72-217","Residential Parcel"
"102-72-250","Rental Parcel"
"102-85-606","Residential Parcel"
"102-85-800","Rental Parcel"
"102-90-683","Residential Parcel"
"102-90-756","Residential Parcel"
"102-17-575","Residential Parcel"
"102-17-828","Residential Parcel"
"102-58-137","Residential Parcel"
"102-90-694","Residential Parcel"
"102-90-770","Residential Parcel"
"102-22-847","Residential Parcel"
"102-22-846","Residential Parcel"
"102-17-590","Residential Parcel"
"102-17-611","Residential Parcel"
"102-90-562","Residential Parcel"
"102-90-565","Residential Parcel"
"102-58-158","Residential Parcel"
"102-58-168","Residential Parcel"
"102-85-690","Rental Parcel"
"102-85-764","Residential Parcel"
"102-90-405","Residential Parcel"
"102-90-533","Residential Parcel"
"102-90-742","Rental Parcel"
"102-18-956","Residential Parcel"
"102-58-134","Residential Parcel"
"102-72-375","Residential Parcel"
"102-85-588","Residential Parcel"
"102-90-460","Rental Parcel"
"102-90-731","Residential Parcel"
"102-22-845","Residential Parcel"
"102-17-655","Rental Parcel"
"102-85-760","Residential Parcel"
"102-17-803","Residential Parcel"
"102-17-813","Residential Parcel"
"102-17-872","Residential Parcel"
"102-72-203","Rental Parcel"
"102-82-139","Residential Parcel"
"102-82-164","Residential Parcel"
"102-90-567","Residential Parcel"
"102-72-287","Residential Parcel"
"102-85-668","Residential Parcel"
"102-90-651","Residential Parcel"
"102-90-735","Residential Parcel"
"102-17-560","Residential Parcel"
"102-58-316","Residential Parcel"
"102-72-286","Residential Parcel"
"102-85-630","Residential Parcel"
"102-90-659","Residential Parcel"
"102-90-812","Rental Parcel"
"102-85-734","Residential Parcel"
"102-90-488","Rental Parcel"
"102-17-858","Residential Parcel"
"102-72-300","Residential Parcel"
"102-72-316","Residential Parcel"
"102-82-119","Residential Parcel"
"102-85-763","Residential Parcel"
"102-90-853","Residential Parcel"
"102-22-854","Residential Parcel"
"102-90-711","Residential Parcel"
"102-58-178","Residential Parcel"
"102-72-331","Rental Parcel"
"102-72-400","Residential Parcel"
"102-22-855","Residential Parcel"
"102-58-356","Residential Parcel"
"102-72-245","Residential Parcel"
"102-90-425","Rental Parcel"
"102-90-469","Residential Parcel"
"102-90-826","Residential Parcel"
"102-90-852","Residential Parcel"
"102-17-778","Residential Parcel"
"102-58-128","Residential Parcel"
"102-72-187","Rental Parcel"
"102-90-443","Rental Parcel"
"102-90-477","Residential Parcel"
"102-72-371","Residential Parcel"
"102-82-118","Residential Parcel"
"102-85-756","Residential Parcel"
"102-17-411","Residential Parcel"
"102-17-639","Residential Parcel"
"102-58-150","Residential Parcel"
"102-58-155","Rental Parcel"
"102-58-351","Residential Parcel"
"102-72-268","Residential Parcel"
"102-90-484","Residential Parcel"
"102-90-732","Residential Parcel"
"102-17-416","Residential Parcel"
"102-72-367","Residential Parcel"
"102-58-170","Rental Parcel"
"102-58-298","Residential Parcel"
"102-85-796","Residential Parcel"
"102-22-868","Residential Parcel"
"102-17-326","Residential Parcel"
"102-17-458","Residential Parcel"
"102-58-070","Residential Parcel"
"102-58-314","Residential Parcel"
"102-72-225","Residential Parcel"
"102-90-523","Residential Parcel"
"102-90-754","Residential Parcel"
"102-17-561","Residential Parcel"
"102-17-380","Residential Parcel"
"102-72-185","Residential Parcel"
"102-72-193","Residential Parcel"
"102-85-719","Residential Parcel"
"102-85-720","Rental Parcel"
"102-85-615","Residential Parcel"
"102-90-677","Residential Parcel"
"102-90-684","Residential Parcel"
"102-22-866","Residential Parcel"
"102-82-045","Residential Parcel"
